"long","lat","StrokesRemaining","Round","Number","NewBoundary","PlayerLastName"
-81.3948843439514,30.2034523844711,NA,NA,NA,"Green",NA
-81.3948827606182,30.2034523892395,NA,NA,NA,"Green",NA
-81.3948811772849,30.2034523940079,NA,NA,NA,"Green",NA
-81.3948795939517,30.2034523987762,NA,NA,NA,"Green",NA
-81.3948780106185,30.2034524035446,NA,NA,NA,"Green",NA
-81.3948764272852,30.2034524083129,NA,NA,NA,"Green",NA
-81.394874843952,30.2034524130812,NA,NA,NA,"Green",NA
-81.3948732606188,30.2034524178495,NA,NA,NA,"Green",NA
-81.3948716772855,30.2034524226178,NA,NA,NA,"Green",NA
-81.3948700939523,30.203452427386,NA,NA,NA,"Green",NA
-81.394868510619,30.2034524321543,NA,NA,NA,"Green",NA
-81.3948669272858,30.2034524369225,NA,NA,NA,"Green",NA
-81.3948653439526,30.2034524416907,NA,NA,NA,"Green",NA
-81.3948637606193,30.2034524464588,NA,NA,NA,"Fairway",NA
-81.3949255161057,30.2034536357611,NA,NA,NA,"Fairway",NA
-81.3949239327725,30.20345364053,NA,NA,NA,"Green",NA
-81.3949223494392,30.2034536452989,NA,NA,NA,"Fairway",NA
-81.394920766106,30.2034536500677,NA,NA,NA,"Fairway",NA
-81.3949191827727,30.2034536548366,NA,NA,NA,"Fairway",NA
-81.3949175994395,30.2034536596054,NA,NA,NA,"Fairway",NA
-81.3949160161062,30.2034536643742,NA,NA,NA,"Green",NA
-81.394914432773,30.203453669143,NA,NA,NA,"Green",NA
-81.3949128494397,30.2034536739118,NA,NA,NA,"Green",NA
-81.3949112661065,30.2034536786805,NA,NA,NA,"Green",NA
-81.3949096827732,30.2034536834493,NA,NA,NA,"Green",NA
-81.39490809944,30.203453688218,NA,NA,NA,"Green",NA
-81.3949065161067,30.2034536929867,NA,NA,NA,"Green",NA
-81.3949049327735,30.2034536977553,NA,NA,NA,"Green",NA
-81.3949033494402,30.203453702524,NA,NA,NA,"Green",NA
-81.394901766107,30.2034537072926,NA,NA,NA,"Green",NA
-81.3949001827737,30.2034537120612,NA,NA,NA,"Green",NA
-81.3948985994405,30.2034537168298,NA,NA,NA,"Green",NA
-81.3948970161072,30.2034537215984,NA,NA,NA,"Fairway",NA
-81.394895432774,30.203453726367,NA,NA,NA,"Fairway",NA
-81.3948938494407,30.2034537311355,NA,NA,NA,"Green",NA
-81.3948922661075,30.203453735904,NA,NA,NA,"Green",NA
-81.3948906827742,30.2034537406725,NA,NA,NA,"Green",NA
-81.3948890994409,30.203453745441,NA,NA,NA,"Green",NA
-81.3948875161077,30.2034537502095,NA,NA,NA,"Green",NA
-81.3948859327745,30.2034537549779,NA,NA,NA,"Green",NA
-81.3948843494412,30.2034537597464,NA,NA,NA,"Green",NA
-81.3948827661079,30.2034537645148,NA,NA,NA,"Green",NA
-81.3948811827747,30.2034537692831,NA,NA,NA,"Green",NA
-81.3948795994414,30.2034537740515,NA,NA,NA,"Green",NA
-81.3948780161082,30.2034537788199,NA,NA,NA,"Green",NA
-81.3948764327749,30.2034537835882,NA,NA,NA,"Green",NA
-81.3948748494416,30.2034537883565,NA,NA,NA,"Green",NA
-81.3948732661084,30.2034537931248,NA,NA,NA,"Green",NA
-81.3948716827751,30.2034537978931,NA,NA,NA,"Green",NA
-81.3948700994419,30.2034538026613,NA,NA,NA,"Green",NA
-81.3948685161086,30.2034538074295,NA,NA,NA,"Green",NA
-81.3948669327754,30.2034538121978,NA,NA,NA,"Green",NA
-81.3948653494421,30.203453816966,NA,NA,NA,"Green",NA
-81.3948637661089,30.2034538217341,NA,NA,NA,"Fairway",NA
-81.3948621827756,30.2034538265023,NA,NA,NA,"Fairway",NA
-81.3948605994423,30.2034538312704,NA,NA,NA,"Fairway",NA
-81.3949271049293,30.2034550062675,NA,NA,NA,"Fairway",NA
-81.3949255215961,30.2034550110364,NA,NA,NA,"Fairway",NA
-81.3949239382628,30.2034550158053,NA,NA,NA,"Green",NA
-81.3949223549295,30.2034550205742,NA,NA,NA,"Fairway",NA
-81.3949207715963,30.203455025343,NA,NA,NA,"Fairway",NA
-81.394919188263,30.2034550301119,NA,NA,NA,"Fairway",NA
-81.3949176049297,30.2034550348807,NA,NA,NA,"Fairway",NA
-81.3949160215965,30.2034550396495,NA,NA,NA,"Green",NA
-81.3949144382632,30.2034550444183,NA,NA,NA,"Green",NA
